age,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
32,205,2,999,0,1.1,93.994,-36.4,4.858,5191,no
32,691,10,999,0,1.4,93.918,-42.7,4.96,5228.1,yes
45,45,8,999,0,1.4,93.444,-36.1,4.963,5228.1,no
33,400,1,5,2,-1.1,94.601,-49.5,1.032,4963.6,yes
47,903,2,999,1,-1.8,93.075,-47.1,1.415,5099.1,yes
25,243,3,999,0,-1.8,92.843,-50,1.531,5099.1,yes
36,214,1,999,0,-0.1,93.2,-42,4.12,5195.8,no
43,550,1,999,0,1.1,93.994,-36.4,4.857,5191,no
52,64,1,999,0,1.1,93.994,-36.4,4.855,5191,no
34,302,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,yes
48,84,1,999,0,-0.1,93.2,-42,4.153,5195.8,no
45,505,1,999,0,1.4,93.444,-36.1,4.964,5228.1,yes
32,14,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,no
40,251,3,999,0,1.1,93.994,-36.4,4.857,5191,no
51,236,3,999,0,1.4,93.444,-36.1,4.965,5228.1,no
43,197,2,999,0,-0.1,93.2,-42,4.076,5195.8,no
38,173,1,999,0,1.1,93.994,-36.4,4.856,5191,no
53,177,26,999,0,1.4,94.465,-41.8,4.864,5228.1,no
23,78,2,999,0,-1.8,92.893,-46.2,1.281,5099.1,no
57,469,1,999,0,-1.8,93.075,-47.1,1.415,5099.1,no
46,324,2,999,0,-3,92.713,-33,0.715,5023.5,yes
79,301,2,3,1,-3.4,92.649,-30.1,0.715,5017.5,yes
32,543,3,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
39,125,1,999,0,-3.4,92.431,-26.9,0.72,5017.5,yes
35,94,4,999,0,1.4,94.465,-41.8,4.961,5228.1,no
43,764,4,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
23,316,1,8,2,-1.1,94.199,-37.5,0.876,4963.6,yes
33,236,1,999,1,-1.8,93.075,-47.1,1.435,5099.1,no
48,291,1,999,0,-0.2,92.756,-45.9,3.563,5176.3,no
56,1097,15,999,0,1.1,93.994,-36.4,4.864,5191,yes
56,169,2,3,2,-3.4,92.379,-29.8,0.778,5017.5,yes
40,58,3,999,0,1.1,93.994,-36.4,4.857,5191,no
31,152,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,no
31,172,3,999,0,-1.7,94.027,-38.3,0.899,4991.6,no
26,386,3,6,3,-1.1,94.199,-37.5,0.881,4963.6,yes
27,309,2,999,1,-1.1,94.601,-49.5,0.972,4963.6,no
29,157,2,999,0,-2.9,92.963,-40.8,1.268,5076.2,yes
37,712,6,999,0,1.4,93.918,-42.7,4.961,5228.1,yes
31,314,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,no
37,71,3,999,1,-1.8,92.893,-46.2,1.25,5099.1,no
38,198,1,999,0,1.4,94.465,-41.8,4.865,5228.1,no
28,155,2,999,0,1.1,93.994,-36.4,4.86,5191,no
26,182,1,4,1,-2.9,92.201,-31.4,0.879,5076.2,yes
49,136,3,999,0,1.1,93.994,-36.4,4.86,5191,no
29,1007,6,999,0,-2.9,92.469,-33.6,1.059,5076.2,yes
36,249,4,999,1,-1.8,92.893,-46.2,1.327,5099.1,no
34,236,1,999,0,-1.8,93.369,-34.8,0.652,5008.7,yes
62,141,2,999,0,-3,92.713,-33,0.714,5023.5,yes
80,82,2,999,0,-3.4,92.431,-26.9,0.742,5017.5,no
39,93,1,13,1,-1.8,93.369,-34.8,0.65,5008.7,no
24,669,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,yes
60,135,1,999,0,1.4,93.918,-42.7,4.962,5228.1,no
34,1228,6,999,0,1.4,93.918,-42.7,4.961,5228.1,yes
25,184,1,999,0,-2.9,92.201,-31.4,0.851,5076.2,yes
41,149,2,999,0,1.4,93.918,-42.7,4.962,5228.1,no
41,463,1,999,0,-1.8,93.075,-47.1,1.453,5099.1,yes
62,238,4,18,2,-1.1,94.601,-49.5,1.037,4963.6,yes
44,173,1,4,1,-3.4,92.379,-29.8,0.755,5017.5,yes
38,37,1,999,0,1.4,94.465,-41.8,4.962,5228.1,no
27,198,5,999,0,1.1,93.994,-36.4,4.859,5191,no
30,1152,2,999,0,1.4,93.918,-42.7,4.963,5228.1,yes
50,143,4,999,0,-1.8,93.075,-47.1,1.405,5099.1,no
24,210,6,999,0,-1.8,92.893,-46.2,1.266,5099.1,no
58,326,4,6,3,-1.7,94.027,-38.3,0.895,4991.6,yes
59,218,3,3,1,-1.7,94.027,-38.3,0.905,4991.6,yes
33,372,14,999,0,1.1,93.994,-36.4,4.857,5191,no
63,47,1,999,1,-2.9,92.201,-31.4,0.838,5076.2,no
36,36,2,999,0,1.4,93.918,-42.7,4.962,5228.1,no
38,450,3,6,2,-1.8,93.369,-34.8,0.652,5008.7,yes
38,289,2,999,0,-2.9,92.201,-31.4,0.879,5076.2,yes
34,83,3,999,0,1.4,93.444,-36.1,4.965,5228.1,no
33,172,2,999,0,-0.1,93.2,-42,4.076,5195.8,no
75,293,2,999,1,-1.8,93.369,-34.8,0.639,5008.7,yes
55,181,3,999,0,1.4,93.444,-36.1,4.968,5228.1,no
63,87,4,999,0,-2.9,92.201,-31.4,0.883,5076.2,no
42,265,1,999,0,-1.8,92.893,-46.2,1.264,5099.1,no
38,287,4,999,0,1.1,93.994,-36.4,4.855,5191,no
31,935,1,999,0,1.1,93.994,-36.4,4.857,5191,yes
50,176,2,3,3,-1.8,93.876,-40,0.682,5008.7,yes
35,266,1,999,1,-2.9,92.963,-40.8,1.26,5076.2,no
36,1132,1,999,1,-0.1,93.2,-42,4.153,5195.8,yes
23,105,2,999,0,-3.4,92.649,-30.1,0.722,5017.5,no
38,241,2,999,0,1.1,93.994,-36.4,4.856,5191,no
24,700,1,999,0,1.4,94.465,-41.8,4.961,5228.1,yes
38,145,2,999,0,1.1,93.994,-36.4,4.857,5191,no
25,191,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,yes
34,469,1,6,2,-1.8,93.369,-34.8,0.652,5008.7,yes
40,55,1,999,1,-0.1,93.2,-42,4.153,5195.8,no
34,301,1,3,2,-1.8,93.369,-34.8,0.652,5008.7,yes
55,958,2,999,0,1.1,93.994,-36.4,4.858,5191,yes
33,389,2,999,0,1.1,93.994,-36.4,4.855,5191,no
53,893,1,999,0,1.4,93.918,-42.7,4.961,5228.1,yes
47,223,1,999,0,1.4,93.918,-42.7,4.968,5228.1,no
41,391,2,999,0,1.1,93.994,-36.4,4.855,5191,no
38,97,6,999,0,1.4,94.465,-41.8,4.96,5228.1,no
37,266,1,999,0,1.4,93.444,-36.1,4.968,5228.1,no
73,348,1,999,0,-2.9,92.201,-31.4,0.861,5076.2,yes
32,71,3,999,0,-1.8,92.843,-50,1.687,5099.1,yes
49,188,1,999,1,-0.1,93.2,-42,4.153,5195.8,no
72,189,3,999,0,-3.4,92.431,-26.9,0.722,5017.5,yes
58,110,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,yes
85,129,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
35,984,2,999,0,1.4,94.465,-41.8,4.864,5228.1,yes
36,834,1,999,0,-1.8,93.369,-34.8,0.655,5008.7,yes
35,275,1,6,2,-1.7,94.215,-40.3,0.889,4991.6,yes
35,273,1,999,0,1.1,93.994,-36.4,4.859,5191,no
32,443,1,999,0,1.4,94.465,-41.8,4.962,5228.1,no
29,445,2,999,0,-3.4,92.379,-29.8,0.788,5017.5,yes
78,137,2,999,0,-1.8,93.075,-47.1,1.405,5099.1,yes
57,558,1,999,0,1.4,93.918,-42.7,4.957,5228.1,yes
